"","id","originalTags","name","network","cnRef","sumLengthsKm","rating"
"1434",3723578,"","lcnHipper Valley Cycleway","lcn","Hipper Valley Cycleway","0","suggested"
"1435",3723579,"","lcnHipper-Holmebrook Link","lcn","Hipper-Holmebrook Link","1","suggested"
"1436",3723580,"","lcnHolmebrook Valley Cycleway","lcn","Holmebrook Valley Cycleway","1","suggested"
"1437",3723581,"","lcnHummersknott","lcn","Hummersknott","2","suggested"
"1438",3723582,"","lcnLenton Lane Cycle Gateway","lcn","Lenton Lane Cycle Gateway","1","suggested"
"1439",3723583,"","lcnlocal route","lcn","local route","1","suggested"
"1440",3723584,"","lcnMilton","lcn","Milton","1","suggested"
"1441",3723585,"","lcnMorton Park","lcn","Morton Park","5","suggested"
"1442",3723586,"","lcnMowden","lcn","Mowden","3","suggested"
"1443",3723587,"","lcnNorfolk Park Cycling Route","lcn","Norfolk Park Cycling Route","2","suggested"
"1444",3723588,"","lcnR6","lcn","R6","0","suggested"
"1445",3723589,"","lcnSilverhill Trail","lcn","Silverhill Trail","6","suggested"
"1446",3723590,"","lcnSouth Notts College","lcn","South Notts College","1","suggested"
"1447",3723591,"","lcnStockley Trail","lcn","Stockley Trail","4","suggested"
"1448",3723592,"","lcnSunshine Trail","lcn","Sunshine Trail","0","suggested"
"1449",3723593,"","lcnTeversal Trail","lcn","Teversal Trail","2","suggested"
"1450",3723594,"","lcnWalker Lane","lcn","Walker Lane","1","suggested"
"1451",3723595,"","lcnWest Park","lcn","West Park","3","suggested"
"1452",3723596,"","lcnyes","lcn","yes","0","suggested"
"1453",3723597,"","rcn?","rcn",NA,"18","touring"
"1454",3723598,"","rcn(30)","rcn","(30)","0","touring"
"1455",3723599,"","rcn(44)","rcn","(44)","4","touring"
"1456",3723600,"","rcn11 - Northern Warwickshire Cycleway","rcn","11 - Northern Warwickshire Cycleway","49","touring"
"1457",3723601,"","rcn13","rcn","13","32","touring"
"1458",3723602,"","rcn14","rcn","14","2","touring"
"1459",3723603,"","rcn15","rcn","15","15","touring"
"1460",3723604,"","rcn16","rcn","16","51","touring"
"1461",3723605,"","rcn20","rcn","20","10","touring"
"1462",3723606,"","rcn21","rcn","21","9","touring"
"1463",3723607,"","rcn26","rcn","26","14","touring"
"1464",3723608,"","rcn3","rcn","3","5","touring"
"1465",3723609,"","rcn30","rcn","30","11","touring"
"1466",3723610,"","rcn31","rcn","31","13","touring"
"1467",3723611,"","rcn32","rcn","32","17","touring"
"1468",3723612,"","rcn44","rcn","44","0","touring"
"1469",3723613,"","rcn47","rcn","47","3","touring"
"1470",3723614,"","rcn51","rcn","51","81","touring"
"1471",3723615,"","rcn52","rcn","52","1","touring"
"1472",3723616,"","rcn52 Link","rcn","52 Link","2","touring"
"1473",3723617,"","rcn54","rcn","54","13","touring"
"1474",3723618,"","rcn66","rcn","66","1","touring"
"1475",3723619,"","rcn67","rcn","67","0","touring"
"1476",3723620,"","rcn70","rcn","70","2","touring"
"1477",3723621,"","rcn70 (via Henbury)","rcn","70 (via Henbury)","0","touring"
"1478",3723622,"","rcn70 71","rcn","70 71","0","touring"
"1479",3723623,"","rcn74","rcn","74","11","touring"
"1480",3723624,"","rcn79","rcn","79","1","touring"
"1481",3723625,"","rcn84","rcn","84","7","touring"
"1482",3723626,"","rcn90","rcn","90","0","touring"
"1483",3723627,"","rcn91","rcn","91","0","touring"
"1484",3723628,"","rcn93","rcn","93","7","touring"
"1485",3723629,"","rcnBasingstoke Canal","rcn","Basingstoke Canal","1","touring"
"1486",3723630,"","rcnBlackwater Valley","rcn","Blackwater Valley","1","touring"
"1487",3723631,"","rcnHarding","rcn","Harding","7","touring"
"1488",3723632,"","rcnLondon Loop","rcn","London Loop","0","touring"
"1489",3723633,"","rcnMilton","rcn","Milton","0","touring"
"1490",3723634,"","ncn?","ncn",NA,"3","neutral"
"1491",3723635,"","ncn(1)","ncn","(1)","0","continuous"
"1492",3723636,"","ncn(13)","ncn","(13)","2","continuous"
"1493",3723637,"","ncn(15)","ncn","(15)","1","continuous"
"1494",3723638,"","ncn(24)","ncn","(24)","1","continuous"
"1495",3723639,"","ncn(4)","ncn","(4)","1","continuous"
"1496",3723640,"","ncn(403)","ncn","(403)","2","continuous"
"1497",3723641,"","ncn(41)","ncn","(41)","6","continuous"
"1498",3723642,"","ncn(42)","ncn","(42)","5","continuous"
"1499",3723643,"","ncn(45)","ncn","(45)","0","continuous"
"1500",3723644,"","ncn(533)/(534)","ncn","(533)/(534)","2","continuous"
"1501",3723645,"","ncn(6)","ncn","(6)","1","continuous"
"1502",3723646,"","ncn(67)","ncn","(67)","0","continuous"
"1503",3723647,"","ncn(72/141)","ncn","(72/141)","0","continuous"
"1504",3723648,"","ncn(8)","ncn","(8)","1","continuous"
"1505",3723649,"","ncn1","ncn","1","19","continuous"
"1506",3723650,"","ncn10","ncn","10","2","continuous"
"1507",3723651,"","ncn11","ncn","11","10","continuous"
"1508",3723652,"","ncn12","ncn","12","2","continuous"
"1509",3723653,"","ncn12;51","ncn","12;51","1","continuous"
"1510",3723654,"","ncn12;51 (proposed)","ncn","12;51 (proposed)","17","continuous"
"1511",3723655,"","ncn13","ncn","13","2","continuous"
"1512",3723656,"","ncn14","ncn","14","2","continuous"
"1513",3723657,"","ncn15","ncn","15","0","continuous"
"1514",3723658,"","ncn16","ncn","16","25","continuous"
"1515",3723659,"","ncn17","ncn","17","4","continuous"
"1516",3723660,"","ncn174","ncn","174","2","continuous"
"1517",3723661,"","ncn195","ncn","195","9","continuous"
"1518",3723662,"","ncn2","ncn","2","26","continuous"
"1519",3723663,"","ncn20","ncn","20","0","continuous"
"1520",3723664,"","ncn21","ncn","21","2","continuous"
"1521",3723665,"","ncn22","ncn","22","0","continuous"
"1522",3723666,"","ncn221","ncn","221","2","continuous"
"1523",3723667,"","ncn23","ncn","23","1","continuous"
"1524",3723668,"","ncn24","ncn","24","2","continuous"
"1525",3723669,"","ncn246","ncn","246","0","continuous"
"1526",3723670,"","ncn25","ncn","25","0","continuous"
"1527",3723671,"","ncn27","ncn","27","2","continuous"
"1528",3723672,"","ncn27,3","ncn","27,3","0","continuous"
"1529",3723673,"","ncn3","ncn","3","2","continuous"
"1530",3723674,"","ncn32","ncn","32","0","continuous"
"1531",3723675,"","ncn33","ncn","33","3","continuous"
"1532",3723676,"","ncn34","ncn","34","5","continuous"
"1533",3723677,"","ncn4","ncn","4","1","continuous"
